id,Longitud,Latitud,2026_011,2026_012,2026_013,2026_010,2026_021,2026_022,2026_023,2026_020,2026_031,2026_032,2026_033,2026_030,2026_041,2026_042
37,-58.33350002765656,-32.0,44.43183135986328,50.90199661254883,34.3070068359375,42.926300048828125,23.26976585388184,43.55228042602539,48.37081146240234,37.68524932861328,43.388458251953125,40.923336029052734,75.74016571044922,54.07289505004883,91.73373413085938,96.9001922607422
38,-58.0,-32.33349999785423,37.52792739868164,40.73717880249024,25.520278930664062,34.302391052246094,16.151933670043945,50.28512954711914,52.60114288330078,38.75642013549805,40.1397819519043,32.792537689208984,80.4410629272461,52.07015609741211,92.61736297607422,95.24163818359376
39,-57.666499972343445,-32.33349999785423,38.62028884887695,41.87638092041016,25.206281661987305,34.910831451416016,15.307455062866213,47.481666564941406,48.06988143920898,36.158935546875,35.99966049194336,28.98310089111328,76.9455795288086,48.26544952392578,89.03526306152344,95.05329895019533
40,-58.0,-32.0,48.37343215942383,50.64722442626953,31.38641166687012,43.07926177978516,19.55693817138672,49.91030502319336,54.80733489990234,40.46896743774414,46.06355667114258,39.73440933227539,82.8870620727539,57.08829879760742,94.61895751953124,95.82209014892578
41,-57.666499972343445,-32.0,44.77193069458008,48.69695281982422,28.00441551208496,40.08830261230469,16.145055770874023,55.7739486694336,61.19198226928711,43.16878128051758,50.98103713989258,43.34319686889648,89.28169250488281,62.10777282714844,95.46527099609376,95.15089416503906
42,-57.33350002765656,-33.333500027656555,21.04194641113281,31.02127265930176,17.43883514404297,22.982561111450195,10.194067001342772,18.979137420654297,23.85937118530273,17.235963821411133,17.860471725463867,18.61560440063477,82.4497299194336,41.022830963134766,96.53526306152344,94.2891845703125
43,-57.33350002765656,-33.666499972343445,26.890548706054688,39.02925491333008,23.289291381835938,29.52839469909668,14.528861045837402,14.86825942993164,19.249658584594727,15.998873710632324,16.037416458129883,16.816017150878906,58.91399383544922,31.50284767150879,81.71329498291016,95.35134887695312
44,-57.00000002980232,-33.333500027656555,19.028533935546875,35.93653106689453,17.338415145874023,23.883007049560547,8.768741607666016,21.87928581237793,26.92964172363281,18.639907836914062,22.366107940673828,23.366474151611328,90.21643829345705,46.76473236083984,95.679931640625,92.7425537109375
45,-57.33350002765656,-32.66650000214577,27.278549194335938,31.570629119873047,18.51369285583496,25.55298042297364,11.12253761291504,38.49127197265625,37.00883865356445,28.29317092895508,28.25078773498535,26.78456115722656,79.67306518554688,46.0244255065918,94.88118743896484,94.57835388183594
46,-57.00000002980232,-33.00000002980232,19.347633361816406,34.87799453735352,16.093637466430664,23.202783584594727,7.751348495483398,14.94123077392578,20.922224044799805,14.082270622253418,16.11052703857422,17.4995174407959,88.27641296386719,42.16584014892578,96.30762481689452,91.74895477294922
47,-56.66650000214577,-33.00000002980232,28.55090713500977,38.23212432861328,20.547590255737305,28.833993911743164,11.524112701416016,16.307819366455078,20.82182884216309,15.88906955718994,17.67769432067871,20.05968475341797,83.34273529052734,41.746578216552734,96.74896240234376,93.14930725097656
48,-57.00000002980232,-32.66650000214577,24.78322410583496,32.509883880615234,16.175426483154297,24.221315383911133,8.300663948059082,36.18366241455078,33.96756362915039,25.59227752685547,23.3804988861084,20.58275413513184,89.58773803710938,45.970890045166016,96.62306213378906,93.00243377685548
49,-57.33350002765656,-32.33349999785423,36.30604934692383,40.2856330871582,22.142412185668945,32.56398010253906,12.292196273803713,50.17026519775391,49.641212463378906,36.49122619628906,36.62602996826172,30.62529182434082,87.85755920410156,52.869239807128906,93.2769775390625,93.90934753417967
50,-57.666499972343445,-31.666500002145767,57.2130012512207,57.78306579589844,33.35560989379883,48.93136596679688,18.519704818725582,54.14327621459961,67.59432983398438,45.26372909545898,58.75389099121094,50.643646240234375,88.12267303466797,66.5588607788086,93.30298614501952,95.09915924072266
51,-57.33350002765656,-32.0,37.27926254272461,43.18291473388672,21.64602851867676,33.63639068603516,10.866068840026855,71.82025909423828,80.44098663330078,52.51396942138672,64.77131652832031,52.10053634643555,89.39739990234375,69.42225646972656,94.15113067626952,93.64453887939452
52,-57.00000002980232,-32.0,29.08548927307129,47.126495361328125,10.475784301757812,28.30172538757324,2.317209243774414,88.19915771484375,66.8686752319336,51.43260955810547,52.04891586303711,40.70149612426758,86.79081726074219,60.71622848510742,90.83975219726562,87.50652313232422
